"team","points","MP","Wins","HomePlayed","HomeWin","AwayPlayed","AwayWin","HP","AP"
"Liverpool",48,21,14,10,8,11,6,0.8,0.545454545454545
"Manchester City",43,20,13,9,6,11,7,0.666666666666667,0.636363636363636
"Arsenal",43,21,13,11,8,10,5,0.727272727272727,0.5
"Aston Villa",43,21,13,10,9,11,4,0.9,0.363636363636364
"Tottenham",40,21,12,10,7,11,5,0.7,0.454545454545455
"West Ham",35,21,10,10,5,11,5,0.5,0.454545454545455
"Brighton",32,21,8,11,5,10,3,0.454545454545455,0.3
"Manchester United",32,21,10,11,6,10,4,0.545454545454545,0.4
"Chelsea",31,21,9,11,5,10,4,0.454545454545455,0.4
"Newcastle",29,21,9,11,8,10,1,0.727272727272727,0.1
"Wolves",29,21,8,10,5,11,3,0.5,0.272727272727273
"Bournemouth",25,20,7,10,3,10,4,0.3,0.4
"Fulham",24,21,7,10,6,11,1,0.6,0.0909090909090909
"Brentford",22,20,6,11,4,9,2,0.363636363636364,0.222222222222222
"Crystal Palace",21,21,5,10,2,11,3,0.2,0.272727272727273
"Nottingham Forest",20,21,5,10,3,11,2,0.3,0.181818181818182
"Everton",17,21,8,11,3,10,5,0.272727272727273,0.5
"Luton",16,20,4,10,2,10,2,0.2,0.2
"Burnley",12,21,3,11,1,10,2,0.0909090909090909,0.2
"Sheffield Utd",10,21,2,11,2,10,0,0.181818181818182,0
